fid,cngdegrees,x,y
"0",0,-140.6279666290,60.3334821050
"0",0.000269495,-140.6281937168,60.3333608740
"0",0.00053899,-140.6283573762,60.3331467639
"0",0.000808485,-140.6285210356,60.3329326537
"0",0.00107798,-140.6286846950,60.3327185436
"0",0.001347475,-140.6287448445,60.3324690305
"0",0.00161697,-140.6287465878,60.3321995412
"0",0.001886465,-140.6287483312,60.3319300518
"0",0.00215596,-140.6287500745,60.3316605624
"0",0.002425455,-140.6287518179,60.3313910731
"0",0.00269495,-140.6287535612,60.3311215837
"0",0.002964445,-140.6287553045,60.3308520944
"0",0.00323394,-140.6287570479,60.3305826050
"0",0.003503435,-140.6286015437,60.3303772229
"0",0.00377293,-140.6284118805,60.3301857668
"0",0.004042425,-140.6282222173,60.3299943108
"0",0.00431192,-140.6280325540,60.3298028547
"0",0.004581415,-140.6278428908,60.3296113987
"0",0.00485091,-140.6276532276,60.3294199427
"0",0.005120405,-140.6274635643,60.3292284866
"0",0.0053899,-140.6272739011,60.3290370306
"0",0.005659395,-140.6270842379,60.3288455746
"0",0.00592889,-140.6268945746,60.3286541185
"0",0.006198385,-140.6267136956,60.3284568237
"0",0.00646788,-140.6266391873,60.3282053542
"0",0.006737375,-140.6266979506,60.3279423439
"0",0.00700687,-140.6268856924,60.3277503173
"0",0.007276365,-140.6270764473,60.3275599489
"0",0.00754586,-140.6272672022,60.3273695805
"0",0.007815355,-140.6273438720,60.3271320714
"0",0.00808485,-140.6273431351,60.3268625774
"0",0.008354345,-140.6273423982,60.3265930834
"0",0.00862384,-140.6273416613,60.3263235894
"0",0.008893335,-140.6273409243,60.3260540955
"0",0.00916283,-140.6272066916,60.3258312651
"0",0.00943232499999999,-140.6270393780,60.3256199981
"0",0.00970181999999999,-140.6268720645,60.3254087312
"0",0.00997131499999999,-140.6267047509,60.3251974642
"0",0.01024081,-140.6265281843,60.3249957050
"0",0.010510305,-140.6263124538,60.3248341874
"0",0.0107798,-140.6260967233,60.3246726699
"0",0.011049295,-140.6258809929,60.3245111523
"0",0.01131879,-140.6256584589,60.3243594373
"0",0.011588285,-140.6254316851,60.3242138310
"0",0.01185778,-140.6252049113,60.3240682247
"0",0.012127275,-140.6249781375,60.3239226184
"0",0.01239677,-140.6247508542,60.3237780635
"0",0.012666265,-140.6244960366,60.3236903394
"0",0.01293576,-140.6242451679,60.3235950672
"0",0.013205255,-140.6240278025,60.3234357567
"0",0.01347475,-140.6238104371,60.3232764461
"0",0.013744245,-140.6235930718,60.3231171356
"0",0.01401374,-140.6234860249,60.3228944989
"0",0.014283235,-140.6234580771,60.3226264570
"0",0.01455273,-140.6234301292,60.3223584151
"0",0.014822225,-140.6232979558,60.3221314355
"0",0.01509172,-140.6231355670,60.3219163601
"0",0.015361215,-140.6230957081,60.3216536029
"0",0.01563071,-140.6230700072,60.3213853362
"0",0.015900205,-140.6229051890,60.3211791236
"0",0.0161697,-140.6227227513,60.3209807704
"0",0.016439195,-140.6224819915,60.3208840087
"0",0.01670869,-140.6222187081,60.3208264812
"0",0.016978185,-140.6219554248,60.3207689537
"0",0.01724768,-140.6216921414,60.3207114262
"0",0.017517175,-140.6214288580,60.3206538987
"0",0.01778667,-140.6211655746,60.3205963712
"0",0.018056165,-140.6209094763,60.3205182181
"0",0.01832566,-140.6206674354,60.3203997118
"0",0.018595155,-140.6204253944,60.3202812055
"0",0.01886465,-140.6201833535,60.3201626993
"0",0.019134145,-140.6199413125,60.3200441930
"0",0.01940364,-140.6196992716,60.3199256867
"0",0.019673135,-140.6194572306,60.3198071805
"0",0.01994263,-140.6192151897,60.3196886742
"0",0.020212125,-140.6189578875,60.3196093022
"0",0.02048162,-140.6186995194,60.3195326638
"0",0.020751115,-140.6184411512,60.3194560253
"0",0.02102061,-140.6181963252,60.3193443723
"0",0.021290105,-140.6179536261,60.3192272198
"0",0.0215596,-140.6177109271,60.3191100672
"0",0.021829095,-140.6174682280,60.3189929146
"0",0.02209859,-140.6172141834,60.3189055731
"0",0.022368085,-140.6169550053,60.3188317199
"0",0.02263758,-140.6166958273,60.3187578668
"0",0.022907075,-140.6164519084,60.3186440453
"0",0.02317657,-140.6162094554,60.3185263845
"0",0.023446065,-140.6159904232,60.3183757261
"0",0.02371556,-140.6157993478,60.3181856793
"0",0.023985055,-140.6156082724,60.3179956326
"0",0.02425455,-140.6154171971,60.3178055859
"0",0.024524045,-140.6152261217,60.3176155392
"0",0.02479354,-140.6150350463,60.3174254924
"0",0.025063035,-140.6148439710,60.3172354457
"0",0.02533253,-140.6146528956,60.3170453990
"0",0.025602025,-140.6144618202,60.3168553522
"0",0.0258715200000001,-140.6142707449,60.3166653055
"0",0.0261410150000001,-140.6141235563,60.3164435148
"0",0.0264105100000001,-140.6140028754,60.3162025508
"0",0.0266800050000001,-140.6138165014,60.3160086849
"0",0.0269495000000001,-140.6136270273,60.3158170417
"0",0.0272189950000001,-140.6134375533,60.3156253984
"0",0.0274884900000001,-140.6132480792,60.3154337552
"0",0.0277579850000001,-140.6130586052,60.3152421119
"0",0.0280274800000001,-140.6128691311,60.3150504686
"0",0.0282969750000001,-140.6126796571,60.3148588254
"0",0.0285664700000001,-140.6124710177,60.3146898946
"0",0.0288359650000001,-140.6122502353,60.3145353544
"0",0.0291054600000001,-140.6120294529,60.3143808142
"0",0.0293749550000001,-140.6118086705,60.3142262739
"0",0.0296444500000001,-140.6115612785,60.3141302721
"0",0.0299139450000001,-140.6112996742,60.3140655361
"0",0.0301834400000001,-140.6110380699,60.3140008001
"0",0.0304529350000001,-140.6107713137,60.3139742306
"0",0.0307224300000001,-140.6105019081,60.3139672873
"0",0.0309919250000001,-140.6102325026,60.3139603440
"0",0.0312614200000001,-140.6099630971,60.3139534008
"0",0.0315309150000001,-140.6096936915,60.3139464575
"0",0.0318004100000001,-140.6094243051,60.3139393557
"0",0.0320699050000001,-140.6091609803,60.3138820179
"0",0.0323394000000001,-140.6088976556,60.3138246802
"0",0.0326088950000001,-140.6086311582,60.3137923884
"0",0.0328783900000001,-140.6083618537,60.3137822582
"0",0.0331478850000001,-140.6080925491,60.3137721280
"0",0.0334173800000001,-140.6078232446,60.3137619978
"0",0.0336868750000001,-140.6075546185,60.3137447749
"0",0.0339563700000001,-140.6072882772,60.3137036668
"0",0.0342258650000001,-140.6070219359,60.3136625588
"0",0.0344953600000001,-140.6067555947,60.3136214507
